"state","year","gdp"
"United States",1963,607008
"Alabama",1963,7343
"Alaska",1963,1083
"Arizona",1963,4482
"Arkansas",1963,3791
"California",1963,67809
"Colorado",1963,5925
"Connecticut",1963,9877
"Delaware",1963,1885
"District of Columbia",1963,5137
"Florida",1963,14684
"Georgia",1963,10318
"Hawaii",1963,2367
"Idaho",1963,1841
"Illinois",1963,39514
"Indiana",1963,15636
"Iowa",1963,7921
"Kansas",1963,6135
"Kentucky",1963,8355
"Louisiana",1963,9659
"Maine",1963,2420
"Maryland",1963,10261
"Massachusetts",1963,17415
"Michigan",1963,30466
"Minnesota",1963,10745
"Mississippi",1963,4425
"Missouri",1963,13613
"Montana",1963,1974
"Nebraska",1963,4262
"Nevada",1963,1819
"New Hampshire",1963,1651
"New Jersey",1963,23388
"New Mexico",1963,3030
"New York",1963,70640
"North Carolina",1963,12639
"North Dakota",1963,1624
"Ohio",1963,33270
"Oklahoma",1963,6151
"Oregon",1963,5707
"Pennsylvania",1963,34533
"Rhode Island",1963,2686
"South Carolina",1963,5057
"South Dakota",1963,1610
"Tennessee",1963,9055
"Texas",1963,29252
"Utah",1963,2998
"Vermont",1963,993
"Virginia",1963,11682
"Washington",1963,11171
"West Virginia",1963,4617
"Wisconsin",1963,12742
"Wyoming",1963,1353
"New England",1963,35042
"United States",1964,650513
"Alabama",1964,8220
"Alaska",1964,1230
"Arizona",1964,4817
"Arkansas",1964,4148
"California",1964,73513
"Colorado",1964,6228
"Connecticut",1964,10551
"Delaware",1964,2068
"District of Columbia",1964,5553
"Florida",1964,16025
"Georgia",1964,11253
"Hawaii",1964,2571
"Idaho",1964,1946
"Illinois",1964,42478
"Indiana",1964,16723
"Iowa",1964,8350
"Kansas",1964,6418
"Kentucky",1964,8774
"Louisiana",1964,10468
"Maine",1964,2604
"Maryland",1964,11171
"Massachusetts",1964,18625
"Michigan",1964,32575
"Minnesota",1964,11353
"Mississippi",1964,4524
"Missouri",1964,14454
"Montana",1964,2024
"Nebraska",1964,4400
"Nevada",1964,1933
"New Hampshire",1964,1812
"New Jersey",1964,24774
"New Mexico",1964,3156
"New York",1964,75542
"North Carolina",1964,13482
"North Dakota",1964,1591
"Ohio",1964,35652
"Oklahoma",1964,6544
"Oregon",1964,6164
"Pennsylvania",1964,37375
"Rhode Island",1964,2881
"South Carolina",1964,5544
"South Dakota",1964,1597
"Tennessee",1964,9758
"Texas",1964,31356
"Utah",1964,3078
"Vermont",1964,1090
"Virginia",1964,12713
"Washington",1964,11392
"West Virginia",1964,4892
