"state","period","measure","unempl_rate"
"Alabama","Jan 1976","seasonally adjusted","6.9"
"Alaska","Jan 1976","seasonally adjusted","7.2"
"Arizona","Jan 1976","seasonally adjusted","10.7"
"Arkansas","Jan 1976","seasonally adjusted","7.6"
"California","Jan 1976","seasonally adjusted","9.2"
"Colorado","Jan 1976","seasonally adjusted","5.5"
"Connecticut","Jan 1976","seasonally adjusted","10"
"Delaware","Jan 1976","seasonally adjusted","7.1"
"District of Columbia","Jan 1976","seasonally adjusted","9.2"
"Florida","Jan 1976","seasonally adjusted","9.9"
"Georgia","Jan 1976","seasonally adjusted","8.6"
"Hawaii","Jan 1976","seasonally adjusted","10.4"
"Idaho","Jan 1976","seasonally adjusted","5.3"
"Illinois","Jan 1976","seasonally adjusted","6.9"
"Indiana","Jan 1976","seasonally adjusted","7"
"Iowa","Jan 1976","seasonally adjusted","4.3"
"Kansas","Jan 1976","seasonally adjusted","4.3"
"Kentucky","Jan 1976","seasonally adjusted","5.6"
"Louisiana","Jan 1976","seasonally adjusted","6.1"
"Maine","Jan 1976","seasonally adjusted","8.9"
"Maryland","Jan 1976","seasonally adjusted","6.4"
"Massachusetts","Jan 1976","seasonally adjusted","10.7"
"Michigan","Jan 1976","seasonally adjusted","10"
"Minnesota","Jan 1976","seasonally adjusted","6.3"
"Mississippi","Jan 1976","seasonally adjusted","7"
"Missouri","Jan 1976","seasonally adjusted","5.9"
"Montana","Jan 1976","seasonally adjusted","5.9"
"Nebraska","Jan 1976","seasonally adjusted","3.4"
"Nevada","Jan 1976","seasonally adjusted","9.1"
"New Hampshire","Jan 1976","seasonally adjusted","6.9"
"New Jersey","Jan 1976","seasonally adjusted","10.2"
"New Mexico","Jan 1976","seasonally adjusted","8.8"
"New York","Jan 1976","seasonally adjusted","10.4"
"North Carolina","Jan 1976","seasonally adjusted","6.8"
"North Dakota","Jan 1976","seasonally adjusted","3.2"
"Ohio","Jan 1976","seasonally adjusted","8.3"
"Oklahoma","Jan 1976","seasonally adjusted","6.1"
"Oregon","Jan 1976","seasonally adjusted","10.1"
"Pennsylvania","Jan 1976","seasonally adjusted","8"
"Rhode Island","Jan 1976","seasonally adjusted","8.2"
"South Carolina","Jan 1976","seasonally adjusted","8"
"South Dakota","Jan 1976","seasonally adjusted","3.3"
"Tennessee","Jan 1976","seasonally adjusted","6.2"
"Texas","Jan 1976","seasonally adjusted","5.9"
"Utah","Jan 1976","seasonally adjusted","6"
"Vermont","Jan 1976","seasonally adjusted","8.8"
"Virginia","Jan 1976","seasonally adjusted","6"
"Washington","Jan 1976","seasonally adjusted","8.8"
"West Virginia","Jan 1976","seasonally adjusted","7.9"
"Wisconsin","Jan 1976","seasonally adjusted","6"
"Wyoming","Jan 1976","seasonally adjusted","4.2"
"Alabama","Jan 1976","not seasonally adjusted","7.9"
"Alaska","Jan 1976","not seasonally adjusted","9.3"
"Arizona","Jan 1976","not seasonally adjusted","11.7"
"Arkansas","Jan 1976","not seasonally adjusted","8.9"
"California","Jan 1976","not seasonally adjusted","10.3"
"Colorado","Jan 1976","not seasonally adjusted","6.6"
"Connecticut","Jan 1976","not seasonally adjusted","11"
"Delaware","Jan 1976","not seasonally adjusted","8.2"
"District of Columbia","Jan 1976","not seasonally adjusted","9.6"
"Florida","Jan 1976","not seasonally adjusted","10.5"
"Georgia","Jan 1976","not seasonally adjusted","8.9"
"Hawaii","Jan 1976","not seasonally adjusted","10"
"Idaho","Jan 1976","not seasonally adjusted","7.6"
"Illinois","Jan 1976","not seasonally adjusted","7.6"
"Indiana","Jan 1976","not seasonally adjusted","7.8"
"Iowa","Jan 1976","not seasonally adjusted","5.3"
"Kansas","Jan 1976","not seasonally adjusted","5"
"Kentucky","Jan 1976","not seasonally adjusted","6.8"
"Louisiana","Jan 1976","not seasonally adjusted","7.1"
