"Gross domestic product (GDP) by state (millions of current dollars)"
"Levels" 
"Bureau of Economic Analysis" 
"All industry total"
"Fips","Area","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"00000","United States",8549209,9030651,9602088,10225879,10562041,10916911,11446549,12206995,13022458,13781347,14391149,14626598,14320114,14859772,15406002,16041240,16548794,17233139,17830307
"01000","Alabama",104309,109776,115704,120428,124885,130180,136270,148769,157914,165131,170399,173521,169586,176221,181923,187283,191605,197535,204235
"02000","Alaska",25763,24067,24727,26932,28942,29808,32125,35510,40277,44867,49285,55436,50514,54220,59318,61614,59891,58067,52804
"04000","Arizona",132795,143542,156118,166108,172634,179892,192663,204659,227047,248075,262214,258978,243102,247333,255621,266131,271072,281559,290578
"05000","Arkansas",60248,62695,67087,69111,71128,74243,78882,85315,90112,95727,99210,102100,100098,104929,109378,111541,116651,121065,123207
"06000","California",1082051,1158822,1258697,1377014,1394863,1449536,1535202,1643908,1760508,1868969,1951997,1993589,1913674,1960935,2031348,2121602,2215232,2324995,2458535
"08000","Colorado",136296,149057,162273,178331,185264,189464,195704,205347,222415,233142,245169,255213,250082,258148,266796,277647,288809,305367,314878
"09000","Connecticut",140127,147616,153781,166995,172336,174856,181750,198921,208154,220994,235299,231486,226076,230357,232271,238322,242417,250764,258532
"10000","Delaware",33911,35955,39053,41677,43314,43046,46092,50618,52901,55826,56805,54303,56374,57674,59763,60774,61424,65485,68071
"11000","District of Columbia",51682,53891,58088,60458,65400,69608,73846,79564,83968,88502,93695,98399,98938,104044,108029,109760,111816,116539,122510
"12000","Florida",403677,431374,459431,490538,519024,550486,585729,637113,700222,748021,773682,754278,721928,729761,735244,764646,797344,835578,882798
"13000","Georgia",242669,264225,287670,304942,316351,323644,335367,353025,376626,393920,411730,410778,402728,407999,418917,434978,450934,471879,495727
"15000","Hawaii",37915,37627,39177,41247,42789,45185,48559,53306,58123,61684,64775,66304,64986,67539,69689,72100,74012,76425,79745
"16000","Idaho",29686,31152,34390,38416,37812,39185,41125,44445,47990,51821,55010,55927,53832,55420,57081,58545,61111,63364,65242
"17000","Illinois",422741,443392,465795,492922,503969,514227,531957,561117,588847,623535,648647,645447,639965,653164,679269,712604,720495,742028,775007
"18000","Indiana",172949,187005,195668,205807,207104,214788,225933,240428,247048,258525,271444,275017,263380,283111,291890,299906,310669,324289,336411
"19000","Iowa",83743,85833,88936,95021,96093,100359,106935,118710,124021,128346,137377,136871,136596,141382,149402,159096,163495,170715,174103
"20000","Kansas",75239,79114,82944,87446,90269,92953,97651,101343,106864,113738,122276,126343,122431,128589,137654,141600,142774,146562,147765
"21000","Kentucky",105103,109859,115931,115126,118975,123928,128804,135994,144174,152394,155486,158732,156113,165787,172255,178210,182696,188518,194643
"22000","Louisiana",118073,121548,127230,134251,140264,141797,157562,172623,200436,207944,209676,218351,209507,231372,236958,243308,238308,245791,243317
"23000","Maine",30675,32177,34350,36684,38317,40050,41858,44617,46052,48175,49269,49858,50222,51304,51481,52606,53300,55029,56600
"24000","Maryland",160965,171402,181987,192934,206296,218525,229840,247461,264729,278216,290139,297792,303265,314471,323942,331424,337422,350262,363845
"25000","Massachusetts",237390,249401,264906,289554,296348,302972,315339,329640,344145,359256,377987,384218,382747,399270,413673,432256,438641,456273,476743
"26000","Michigan",301805,315171,338889,351996,351014,365288,377462,383545,396268,397295,402390,386445,366401,387167,401360,417328,431112,447221,466536
