"year","first_name","last_name","party","home_state"
1972,"George S","McGovern","Democrat","SD"
1972,"Richard M","Nixon","Republican","CA"
1976,"Jimmy","Carter","Democrat","GA"
1976,"Gerald R","Ford","Republican","MI"
1980,"John B","Anderson","Independent","IL"
1980,"Jimmy","Carter","Democrat","GA"
1980,"Ronald","Reagan","Republican","CA"
1984,"Walter F","Mondale","Democrat","MN"
1984,"Ronald","Reagan","Republican","CA"
1988,"George","Bush","Republican","TX"
1988,"Michael S","Dukakis","Democrat","MA"
1992,"George","Bush","Republican","TX"
1992,"Bill","Clinton","Democrat","AR"
1992,"Ross","Perot","Reform","TX"
1996,"Bill","Clinton","Democrat","AR"
1996,"Bob","Dole","Republican","KA"
1996,"Ross","Perot","Reform","TX"
2000,"George W","Bush","Republican","TX"
2000,"Al","Gore","Democrat","TN"
2000,"Ralph","Nader","Green","CT"
2008,"Chuck","Baldwin","Constitution","FL"
2008,"Bob","Barr","Libertarian","GA"
2008,"John S.","McCain","Republican","AZ"
2008,"Cynthia","McKinney","Green","GA"
2008,"Ralph","Nader","Independent","CT"
2008,"Barack H.","Obama","Democrat","IL"
2012,"Roseanne","Barr","Peace and Freedom","HI"
2012,"Virgil","Goode","Constitution","VA"
2012,"Gary","Johnson","Libertarian","NM"
2012,"Barack H.","Obama","Democrat","IL"
2012,"Mitt","Romney","Republican","MA"
2012,"Jill","Stein","Green","MA"
