"year","state","party","ecv","pct","votes"
1972,"ALABAMA","dem",0,25.3,256923
1972,"ALABAMA","rep",9,71.8,728701
1972,"ALASKA","dem",0,34.6,32967
1972,"ALASKA","rep",3,58.1,55349
1972,"ARIZONA","dem",0,30.4,198540
1972,"ARIZONA","rep",6,61.6,402812
1972,"ARKANSAS","dem",0,30.7,199892
1972,"ARKANSAS","rep",6,68.9,448541
1972,"CALIFORNIA","dem",0,41.5,3475847
1972,"CALIFORNIA","rep",45,55,4602096
1972,"COLORADO","dem",0,34.6,329980
1972,"COLORADO","rep",7,62.6,597189
1972,"CONNECTICUT","dem",0,40.1,555498
1972,"CONNECTICUT","rep",8,58.6,810763
1972,"DELAWARE","dem",0,39.2,92283
1972,"DELAWARE","rep",3,59.6,140357
1972,"DISTRICT OF COLUMBIA","dem",3,78.1,127627
1972,"DISTRICT OF COLUMBIA","rep",0,21.6,35226
1972,"FLORIDA","dem",0,27.8,718117
1972,"FLORIDA","rep",17,71.9,1857759
1972,"GEORGIA","dem",0,24.7,289529
1972,"GEORGIA","rep",12,75.3,881490
1972,"HAWAII","dem",0,37.5,101433
1972,"HAWAII","rep",4,62.5,168933
1972,"IDAHO","dem",0,26,80826
1972,"IDAHO","rep",4,64.2,199384
1972,"ILLINOIS","dem",0,40.5,1913472
1972,"ILLINOIS","rep",26,59,2788179
1972,"INDIANA","dem",0,33.3,708568
1972,"INDIANA","rep",13,66.1,1405154
1972,"IOWA","dem",0,40.5,496206
1972,"IOWA","rep",8,57.6,706207
1972,"KANSAS","dem",0,29.5,270287
1972,"KANSAS","rep",7,67.7,619812
1972,"KENTUCKY","dem",0,34.8,371159
1972,"KENTUCKY","rep",9,63.4,676446
1972,"LOUISIANA","dem",0,28.6,298142
1972,"LOUISIANA","rep",10,66,686852
1972,"MAINE","dem",0,38.5,160584
1972,"MAINE","rep",4,61.5,256458
1972,"MARYLAND","dem",0,37.4,505781
1972,"MARYLAND","rep",10,61.3,829305
1972,"MASSACHUSETTS","dem",14,54.2,1332540
1972,"MASSACHUSETTS","rep",0,45.2,1112078
1972,"MICHIGAN","dem",0,41.8,1459435
1972,"MICHIGAN","rep",21,56.2,1961721
1972,"MINNESOTA","dem",0,46.1,802346
1972,"MINNESOTA","rep",10,51.6,898269
1972,"MISSISSIPPI","dem",0,19.6,126782
1972,"MISSISSIPPI","rep",7,78.2,505125
1972,"MISSOURI","dem",0,37.7,698531
1972,"MISSOURI","rep",12,62.3,1154058
1972,"MONTANA","dem",0,37.9,120197
1972,"MONTANA","rep",4,57.9,183976
1972,"NEBRASKA","dem",0,29.5,169991
1972,"NEBRASKA","rep",5,70.5,406298
1972,"NEVADA","dem",0,36.3,66016
1972,"NEVADA","rep",3,63.7,115750
1972,"NEW HAMPSHIRE","dem",0,34.9,116435
1972,"NEW HAMPSHIRE","rep",4,64,213724
1972,"NEW JERSEY","dem",0,36.8,1102211
1972,"NEW JERSEY","rep",17,61.6,1845502
1972,"NEW MEXICO","dem",0,36.6,141084
1972,"NEW MEXICO","rep",4,61.1,235606
1972,"NEW YORK","dem",0,40.3,2951084
1972,"NEW YORK","rep",41,57.3,4192778
1972,"NORTH CAROLINA","dem",0,28.9,438705
1972,"NORTH CAROLINA","rep",13,69.5,1054889
1972,"NORTH DAKOTA","dem",0,35.8,100384
1972,"NORTH DAKOTA","rep",3,62.1,174109
1972,"OHIO","dem",0,38.1,1558889
1972,"OHIO","rep",25,59.6,2441827
1972,"OKLAHOMA","dem",0,24,247147
1972,"OKLAHOMA","rep",8,73.7,759025
1972,"OREGON","dem",0,42.3,392760
1972,"OREGON","rep",6,52.5,486686
1972,"PENNSYLVANIA","dem",0,39.1,1796951
1972,"PENNSYLVANIA","rep",27,59.1,2714521
1972,"RHODE ISLAND","dem",0,46.8,194645
1972,"RHODE ISLAND","rep",4,53,220383
1972,"SOUTH CAROLINA","dem",0,27.7,186824
1972,"SOUTH CAROLINA","rep",8,70.8,477044
1972,"SOUTH DAKOTA","dem",0,45.5,139945
1972,"SOUTH DAKOTA","rep",4,54.2,166476
1972,"TENNESSEE","dem",0,29.8,357293
1972,"TENNESSEE","rep",10,67.7,813147
1972,"TEXAS","dem",0,33.3,1154289
1972,"TEXAS","rep",26,66.2,2298896
1972,"UTAH","dem",0,26.4,126284
1972,"UTAH","rep",4,67.6,323643
1972,"VERMONT","dem",0,36.6,68174
1972,"VERMONT","rep",3,62.9,117149
1972,"VIRGINIA","dem",0,30.1,438887
1972,"VIRGINIA","rep",11,67.8,988493
1972,"WASHINGTON","dem",0,38.6,568334
1972,"WASHINGTON","rep",9,56.9,837135
1972,"WEST VIRGINIA","dem",0,36.4,277435
1972,"WEST VIRGINIA","rep",6,63.6,484964
1972,"WISCONSIN","dem",0,43.7,810174
1972,"WISCONSIN","rep",11,53.4,989430
1972,"WYOMING","dem",0,30.5,44358
1972,"WYOMING","rep",3,69,100464
1976,"ALABAMA","dem",9,55.7,659170
1976,"ALABAMA","rep",0,42.6,504070
1976,"ALASKA","dem",0,35.7,44058
1976,"ALASKA","rep",3,57.9,71555
1976,"ARIZONA","dem",0,39.8,295602
1976,"ARIZONA","rep",6,56.4,418642
1976,"ARKANSAS","dem",6,65,498604
1976,"ARKANSAS","rep",0,34.9,267903
1976,"CALIFORNIA","dem",0,47.6,3742284
1976,"CALIFORNIA","rep",45,49.3,3882244
1976,"COLORADO","dem",0,42.6,460353
1976,"COLORADO","rep",7,54,584367
1976,"CONNECTICUT","dem",0,46.9,647895
1976,"CONNECTICUT","rep",8,52.1,719261
1976,"DELAWARE","dem",3,52,122596
1976,"DELAWARE","rep",0,46.6,109831
1976,"DISTRICT OF COLUMBIA","dem",3,81.6,137818
1976,"DISTRICT OF COLUMBIA","rep",0,16.5,27873
1976,"FLORIDA","dem",17,51.9,1636000
1976,"FLORIDA","rep",0,46.6,1469531
1976,"GEORGIA","dem",12,66.7,979409
1976,"GEORGIA","rep",0,33,483743
1976,"HAWAII","dem",4,50.6,147375
1976,"HAWAII","rep",0,48.1,140003
1976,"IDAHO","dem",0,36.8,126549
1976,"IDAHO","rep",4,59.3,204151
1976,"ILLINOIS","dem",0,48.1,2271295
1976,"ILLINOIS","rep",26,50.1,2364269
1976,"INDIANA","dem",0,45.7,1014714
1976,"INDIANA","rep",13,53.3,1183958
1976,"IOWA","dem",0,48.5,619931
1976,"IOWA","rep",8,49.5,632863
1976,"KANSAS","dem",0,44.9,430421
1976,"KANSAS","rep",7,52.5,502752
1976,"KENTUCKY","dem",9,52.8,615717
1976,"KENTUCKY","rep",0,45.6,531852
1976,"LOUISIANA","dem",10,51.7,661365
1976,"LOUISIANA","rep",0,46,587446
1976,"MAINE","dem",0,48.1,232279
1976,"MAINE","rep",4,48.9,236320
1976,"MARYLAND","dem",10,52.8,759612
1976,"MARYLAND","rep",0,46.7,672661
1976,"MASSACHUSETTS","dem",14,56.1,1429475
1976,"MASSACHUSETTS","rep",0,40.4,1030276
1976,"MICHIGAN","dem",0,46.4,1696714
1976,"MICHIGAN","rep",21,51.8,1893742
1976,"MINNESOTA","dem",10,54.9,1070440
1976,"MINNESOTA","rep",0,42,819395
1976,"MISSISSIPPI","dem",7,49.6,381309
1976,"MISSISSIPPI","rep",0,47.7,366846
1976,"MISSOURI","dem",12,51.1,998387
1976,"MISSOURI","rep",0,47.5,927443
1976,"MONTANA","dem",0,45.4,149259
