"state","county","year","party","candidate","votes","pct"
"AK","Alaska",2004,"REP","George Bush",151876,62.8
"AK","Alaska",2004,"DEM","John Kerry",86064,35.6
"AL","Autauga",2004,"REP","George Bush",15212,75.8
"AL","Autauga",2004,"DEM","John Kerry",4774,23.8
"AL","Autauga",2004,"GRN","Ralph Nader",74,0.4
"AL","Baldwin",2004,"REP","George Bush",52910,76.8
"AL","Baldwin",2004,"DEM","John Kerry",15579,22.6
"AL","Baldwin",2004,"GRN","Ralph Nader",371,0.5
"AL","Barbour",2004,"REP","George Bush",5893,54.8
"AL","Barbour",2004,"DEM","John Kerry",4826,44.9
"AL","Barbour",2004,"GRN","Ralph Nader",26,0.2
"AL","Bibb",2004,"REP","George Bush",5471,72.3
"AL","Bibb",2004,"DEM","John Kerry",2089,27.6
"AL","Bibb",2004,"GRN","Ralph Nader",12,0.2
"AL","Blount",2004,"REP","George Bush",17364,81.2
"AL","Blount",2004,"DEM","John Kerry",3932,18.4
"AL","Blount",2004,"GRN","Ralph Nader",92,0.4
"AL","Bullock",2004,"DEM","John Kerry",3210,68.2
"AL","Bullock",2004,"REP","George Bush",1494,31.7
"AL","Bullock",2004,"GRN","Ralph Nader",3,0.1
"AL","Butler",2004,"REP","George Bush",4978,59.3
"AL","Butler",2004,"DEM","John Kerry",3409,40.6
"AL","Butler",2004,"GRN","Ralph Nader",13,0.2
"AL","Calhoun",2004,"REP","George Bush",29806,66.1
"AL","Calhoun",2004,"DEM","John Kerry",15076,33.5
"AL","Calhoun",2004,"GRN","Ralph Nader",182,0.4
"AL","Chambers",2004,"REP","George Bush",7618,58.6
"AL","Chambers",2004,"DEM","John Kerry",5346,41.1
"AL","Chambers",2004,"GRN","Ralph Nader",42,0.3
"AL","Cherokee",2004,"REP","George Bush",5919,65.8
"AL","Cherokee",2004,"DEM","John Kerry",3036,33.7
"AL","Cherokee",2004,"GRN","Ralph Nader",43,0.5
"AL","Chilton",2004,"REP","George Bush",12824,77.1
"AL","Chilton",2004,"DEM","John Kerry",3773,22.7
"AL","Chilton",2004,"GRN","Ralph Nader",46,0.3
"AL","Choctaw",2004,"REP","George Bush",3889,54.1
"AL","Choctaw",2004,"DEM","John Kerry",3289,45.7
"AL","Choctaw",2004,"GRN","Ralph Nader",15,0.2
"AL","Clarke",2004,"REP","George Bush",6729,59.2
"AL","Clarke",2004,"DEM","John Kerry",4627,40.7
"AL","Clarke",2004,"GRN","Ralph Nader",19,0.2
"AL","Clay",2004,"REP","George Bush",4622,70.5
"AL","Clay",2004,"DEM","John Kerry",1893,28.9
"AL","Clay",2004,"GRN","Ralph Nader",38,0.6
"AL","Cleburne",2004,"REP","George Bush",4362,75.6
"AL","Cleburne",2004,"DEM","John Kerry",1387,24
"AL","Cleburne",2004,"GRN","Ralph Nader",24,0.4
"AL","Coffee",2004,"REP","George Bush",13010,74.1
"AL","Coffee",2004,"DEM","John Kerry",4477,25.5
"AL","Coffee",2004,"GRN","Ralph Nader",73,0.4
"AL","Colbert",2004,"REP","George Bush",13179,55.3
"AL","Colbert",2004,"DEM","John Kerry",10586,44.4
"AL","Colbert",2004,"GRN","Ralph Nader",88,0.4
"AL","Conecuh",2004,"REP","George Bush",3266,54.5
"AL","Conecuh",2004,"DEM","John Kerry",2715,45.3
"AL","Conecuh",2004,"GRN","Ralph Nader",17,0.3
"AL","Coosa",2004,"REP","George Bush",2902,58.4
"AL","Coosa",2004,"DEM","John Kerry",2055,41.4
"AL","Coosa",2004,"GRN","Ralph Nader",8,0.2
"AL","Covington",2004,"REP","George Bush",11108,76.3
"AL","Covington",2004,"DEM","John Kerry",3422,23.5
"AL","Covington",2004,"GRN","Ralph Nader",37,0.3
"AL","Crenshaw",2004,"REP","George Bush",3774,68.8
"AL","Crenshaw",2004,"DEM","John Kerry",1698,30.9
"AL","Crenshaw",2004,"GRN","Ralph Nader",17,0.3
"AL","Cullman",2004,"REP","George Bush",26783,76.6
"AL","Cullman",2004,"DEM","John Kerry",8022,22.9
"AL","Cullman",2004,"GRN","Ralph Nader",155,0.4
"AL","Dale",2004,"REP","George Bush",13614,74.9
"AL","Dale",2004,"DEM","John Kerry",4479,24.7
"AL","Dale",2004,"GRN","Ralph Nader",75,0.4
"AL","Dallas",2004,"DEM","John Kerry",11145,60.3
"AL","Dallas",2004,"REP","George Bush",7318,39.6
"AL","Dallas",2004,"GRN","Ralph Nader",28,0.2
"AL","DeKalb",2004,"REP","George Bush",16901,70.2
"AL","DeKalb",2004,"DEM","John Kerry",7092,29.4
"AL","DeKalb",2004,"GRN","Ralph Nader",99,0.4
"AL","Elmore",2004,"REP","George Bush",22024,77.1
"AL","Elmore",2004,"DEM","John Kerry",6455,22.6
"AL","Elmore",2004,"GRN","Ralph Nader",68,0.2
"AL","Escambia",2004,"REP","George Bush",8501,68.9
"AL","Escambia",2004,"DEM","John Kerry",3812,30.9
"AL","Escambia",2004,"GRN","Ralph Nader",28,0.2
"AL","Etowah",2004,"REP","George Bush",26972,63.5
"AL","Etowah",2004,"DEM","John Kerry",15311,36
"AL","Etowah",2004,"GRN","Ralph Nader",195,0.5
"AL","Fayette",2004,"REP","George Bush",5532,69.4
"AL","Fayette",2004,"DEM","John Kerry",2408,30.2
"AL","Fayette",2004,"GRN","Ralph Nader",29,0.4
"AL","Franklin",2004,"REP","George Bush",7688,62.8
"AL","Franklin",2004,"DEM","John Kerry",4513,36.8
"AL","Franklin",2004,"GRN","Ralph Nader",48,0.4
"AL","Geneva",2004,"REP","George Bush",8324,79.6
"AL","Geneva",2004,"DEM","John Kerry",2105,20.1
"AL","Geneva",2004,"GRN","Ralph Nader",27,0.3
"AL","Greene",2004,"DEM","John Kerry",3763,79.5
"AL","Greene",2004,"REP","George Bush",958,20.2
"AL","Greene",2004,"GRN","Ralph Nader",12,0.3
"AL","Hale",2004,"DEM","John Kerry",4622,58.4
"AL","Hale",2004,"REP","George Bush",3278,41.4
"AL","Hale",2004,"GRN","Ralph Nader",15,0.2
"AL","Henry",2004,"REP","George Bush",4859,66.5
"AL","Henry",2004,"DEM","John Kerry",2432,33.3
"AL","Henry",2004,"GRN","Ralph Nader",15,0.2
"AL","Houston",2004,"REP","George Bush",26868,74.4
"AL","Houston",2004,"DEM","John Kerry",9141,25.3
"AL","Houston",2004,"GRN","Ralph Nader",91,0.3
"AL","Jackson",2004,"REP","George Bush",11507,56.9
"AL","Jackson",2004,"DEM","John Kerry",8618,42.6
"AL","Jackson",2004,"GRN","Ralph Nader",92,0.5
"AL","Jefferson",2004,"REP","George Bush",158504,54.3
"AL","Jefferson",2004,"DEM","John Kerry",132145,45.3
"AL","Jefferson",2004,"GRN","Ralph Nader",999,0.3
"AL","Lamar",2004,"REP","George Bush",4894,71.4
"AL","Lamar",2004,"DEM","John Kerry",1956,28.5
"AL","Lamar",2004,"GRN","Ralph Nader",5,0.1
"AL","Lauderdale",2004,"REP","George Bush",22123,60
"AL","Lauderdale",2004,"DEM","John Kerry",14615,39.6
"AL","Lauderdale",2004,"GRN","Ralph Nader",155,0.4
"AL","Lawrence",2004,"REP","George Bush",7728,55.5
"AL","Lawrence",2004,"DEM","John Kerry",6153,44.2
"AL","Lawrence",2004,"GRN","Ralph Nader",44,0.3
"AL","Lee",2004,"REP","George Bush",27911,63
"AL","Lee",2004,"DEM","John Kerry",16177,36.5
"AL","Lee",2004,"GRN","Ralph Nader",203,0.5
"AL","Limestone",2004,"REP","George Bush",18994,67.9
"AL","Limestone",2004,"DEM","John Kerry",8859,31.7
"AL","Limestone",2004,"GRN","Ralph Nader",117,0.4
"AL","Lowndes",2004,"DEM","John Kerry",4233,70.3
"AL","Lowndes",2004,"REP","George Bush",1786,29.7
"AL","Lowndes",2004,"GRN","Ralph Nader",NA,NA
"AL","Macon",2004,"DEM","John Kerry",7495,82.8
"AL","Macon",2004,"REP","George Bush",1540,17
"AL","Macon",2004,"GRN","Ralph Nader",16,0.2
"AL","Madison",2004,"REP","George Bush",77150,59.2
"AL","Madison",2004,"DEM","John Kerry",52614,40.4
"AL","Madison",2004,"GRN","Ralph Nader",548,0.4
"AL","Marengo",2004,"REP","George Bush",5242,51
"AL","Marengo",2004,"DEM","John Kerry",5026,48.9
"AL","Marengo",2004,"GRN","Ralph Nader",16,0.2
"AL","Marion",2004,"REP","George Bush",8983,69.9
"AL","Marion",2004,"DEM","John Kerry",3806,29.6
"AL","Marion",2004,"GRN","Ralph Nader",61,0.5
"AL","Marshall",2004,"REP","George Bush",22745,72.6
"AL","Marshall",2004,"DEM","John Kerry",8441,26.9
"AL","Marshall",2004,"GRN","Ralph Nader",154,0.5
"AL","Mobile",2004,"REP","George Bush",91877,58.8
"AL","Mobile",2004,"DEM","John Kerry",63614,40.7
"AL","Mobile",2004,"GRN","Ralph Nader",697,0.4
"AL","Monroe",2004,"REP","George Bush",5831,61.3
"AL","Monroe",2004,"DEM","John Kerry",3666,38.5
"AL","Monroe",2004,"GRN","Ralph Nader",23,0.2
"AL","Montgomery",2004,"DEM","John Kerry",45127,50.5
"AL","Montgomery",2004,"REP","George Bush",44074,49.3
"AL","Montgomery",2004,"GRN","Ralph Nader",198,0.2
"AL","Morgan",2004,"REP","George Bush",32435,69.4
"AL","Morgan",2004,"DEM","John Kerry",14113,30.2
"AL","Morgan",2004,"GRN","Ralph Nader",187,0.4
"AL","Perry",2004,"DEM","John Kerry",3754,68.3
"AL","Perry",2004,"REP","George Bush",1733,31.5
"AL","Perry",2004,"GRN","Ralph Nader",7,0.1
"AL","Pickens",2004,"REP","George Bush",5170,56.8
"AL","Pickens",2004,"DEM","John Kerry",3915,43
"AL","Pickens",2004,"GRN","Ralph Nader",24,0.3
"AL","Pike",2004,"REP","George Bush",7473,63.1
"AL","Pike",2004,"DEM","John Kerry",4323,36.5
"AL","Pike",2004,"GRN","Ralph Nader",44,0.4
"AL","Randolph",2004,"REP","George Bush",6127,68.2
"AL","Randolph",2004,"DEM","John Kerry",2817,31.4
"AL","Randolph",2004,"GRN","Ralph Nader",35,0.4
"AL","Russell",2004,"DEM","John Kerry",8372,50
"AL","Russell",2004,"REP","George Bush",8332,49.7
"AL","Russell",2004,"GRN","Ralph Nader",51,0.3
"AL","Shelby",2004,"REP","George Bush",63326,80.7
"AL","Shelby",2004,"DEM","John Kerry",14826,18.9
"AL","Shelby",2004,"GRN","Ralph Nader",283,0.4
"AL","St. Clair",2004,"REP","George Bush",23468,80.9
"AL","St. Clair",2004,"DEM","John Kerry",5449,18.8
"AL","St. Clair",2004,"GRN","Ralph Nader",95,0.3
"AL","Sumter",2004,"DEM","John Kerry",4527,70.5
"AL","Sumter",2004,"REP","George Bush",1880,29.3
"AL","Sumter",2004,"GRN","Ralph Nader",10,0.2
"AL","Talladega",2004,"REP","George Bush",18326,61.5
"AL","Talladega",2004,"DEM","John Kerry",11373,38.2
"AL","Talladega",2004,"GRN","Ralph Nader",89,0.3
"AL","Tallapoosa",2004,"REP","George Bush",12378,69.2
"AL","Tallapoosa",2004,"DEM","John Kerry",5449,30.5
"AL","Tallapoosa",2004,"GRN","Ralph Nader",53,0.3
"AL","Tuscaloosa",2004,"REP","George Bush",42827,61.6
"AL","Tuscaloosa",2004,"DEM","John Kerry",26420,38
"AL","Tuscaloosa",2004,"GRN","Ralph Nader",263,0.4
"AL","Walker",2004,"REP","George Bush",19162,67.8
"AL","Walker",2004,"DEM","John Kerry",9012,31.9
"AL","Walker",2004,"GRN","Ralph Nader",108,0.4
"AL","Washington",2004,"REP","George Bush",5042,61.5
"AL","Washington",2004,"DEM","John Kerry",3127,38.1
"AL","Washington",2004,"GRN","Ralph Nader",28,0.3
"AL","Wilcox",2004,"DEM","John Kerry",3238,64.3
"AL","Wilcox",2004,"REP","George Bush",1778,35.3
"AL","Wilcox",2004,"GRN","Ralph Nader",19,0.4
"AL","Winston",2004,"REP","George Bush",8052,78.1
"AL","Winston",2004,"DEM","John Kerry",2234,21.7
"AR","Arkansas",2004,"REP","George Bush",3783,54.7
"AR","Arkansas",2004,"DEM","John Kerry",3105,44.9
"AR","Arkansas",2004,"GRN","Ralph Nader",31,0.4
"AR","Ashley",2004,"REP","George Bush",4566,53.8
"AR","Ashley",2004,"DEM","John Kerry",3879,45.7
"AR","Ashley",2004,"GRN","Ralph Nader",38,0.4
"AR","Baxter",2004,"REP","George Bush",11117,60.4
"AR","Baxter",2004,"DEM","John Kerry",7120,38.7
"AR","Baxter",2004,"GRN","Ralph Nader",154,0.8
"AR","Benton",2004,"REP","George Bush",46173,68.7
"AR","Benton",2004,"DEM","John Kerry",20594,30.7
"AR","Benton",2004,"GRN","Ralph Nader",394,0.6
"AR","Boone",2004,"REP","George Bush",9742,67.3
"AR","Boone",2004,"DEM","John Kerry",4617,31.9
"AR","Boone",2004,"GRN","Ralph Nader",117,0.8
"AR","Bradley",2004,"REP","George Bush",2190,51.9
"AR","Bradley",2004,"DEM","John Kerry",2005,47.6
"AR","Bradley",2004,"GRN","Ralph Nader",21,0.5
"AR","Calhoun",2004,"REP","George Bush",1334,58.6
"AR","Calhoun",2004,"DEM","John Kerry",934,41
"AR","Calhoun",2004,"GRN","Ralph Nader",10,0.4
"AR","Carroll",2004,"REP","George Bush",6184,59.3
"AR","Carroll",2004,"DEM","John Kerry",4161,39.9
"AR","Carroll",2004,"GRN","Ralph Nader",76,0.7
"AR","Chicot",2004,"DEM","John Kerry",2815,61.7
"AR","Chicot",2004,"REP","George Bush",1723,37.8
"AR","Chicot",2004,"GRN","Ralph Nader",23,0.5
"AR","Clark",2004,"DEM","John Kerry",4981,54.5
"AR","Clark",2004,"REP","George Bush",4118,45
"AR","Clark",2004,"GRN","Ralph Nader",46,0.5
"AR","Clay",2004,"DEM","John Kerry",3258,54
"AR","Clay",2004,"REP","George Bush",2735,45.3
"AR","Clay",2004,"GRN","Ralph Nader",45,0.7
"AR","Cleburne",2004,"REP","George Bush",6938,60.7
"AR","Cleburne",2004,"DEM","John Kerry",4419,38.6
"AR","Cleburne",2004,"GRN","Ralph Nader",78,0.7
"AR","Cleveland",2004,"REP","George Bush",2008,57.7
"AR","Cleveland",2004,"DEM","John Kerry",1450,41.7
"AR","Cleveland",2004,"GRN","Ralph Nader",22,0.6
"AR","Columbia",2004,"REP","George Bush",5706,57.9
"AR","Columbia",2004,"DEM","John Kerry",4102,41.7
"AR","Columbia",2004,"GRN","Ralph Nader",39,0.4
"AR","Conway",2004,"REP","George Bush",3998,49.8
"AR","Conway",2004,"DEM","John Kerry",3972,49.5
"AR","Conway",2004,"GRN","Ralph Nader",56,0.7
"AR","Craighead",2004,"REP","George Bush",15810,53.3
"AR","Craighead",2004,"DEM","John Kerry",13647,46
"AR","Craighead",2004,"GRN","Ralph Nader",179,0.6
"AR","Crawford",2004,"REP","George Bush",13353,66
"AR","Crawford",2004,"DEM","John Kerry",6747,33.3
"AR","Crawford",2004,"GRN","Ralph Nader",143,0.7
"AR","Crittenden",2004,"DEM","John Kerry",8278,54.2
"AR","Crittenden",2004,"REP","George Bush",6930,45.4
"AR","Crittenden",2004,"GRN","Ralph Nader",53,0.3
"AR","Cross",2004,"REP","George Bush",3864,55
"AR","Cross",2004,"DEM","John Kerry",3135,44.6
"AR","Cross",2004,"GRN","Ralph Nader",31,0.4
"AR","Dallas",2004,"REP","George Bush",1699,50.4
"AR","Dallas",2004,"DEM","John Kerry",1670,49.6
"AR","Dallas",2004,"GRN","Ralph Nader",1,NA
"AR","Desha",2004,"DEM","John Kerry",2818,60.9
"AR","Desha",2004,"REP","George Bush",1783,38.5
"AR","Desha",2004,"GRN","Ralph Nader",28,0.6
"AR","Drew",2004,"REP","George Bush",3279,52.3
"AR","Drew",2004,"DEM","John Kerry",2965,47.3
"AR","Drew",2004,"GRN","Ralph Nader",23,0.4
"AR","Faulkner",2004,"REP","George Bush",21514,59.3
"AR","Faulkner",2004,"DEM","John Kerry",14538,40.1
"AR","Faulkner",2004,"GRN","Ralph Nader",231,0.6
"AR","Franklin",2004,"REP","George Bush",4179,57.7
"AR","Franklin",2004,"DEM","John Kerry",3005,41.5
"AR","Franklin",2004,"GRN","Ralph Nader",62,0.9
"AR","Fulton",2004,"REP","George Bush",2187,50.8
"AR","Fulton",2004,"DEM","John Kerry",2083,48.4
"AR","Fulton",2004,"GRN","Ralph Nader",37,0.9
"AR","Garland",2004,"REP","George Bush",21699,54.4
"AR","Garland",2004,"DEM","John Kerry",18014,45.1
"AR","Garland",2004,"GRN","Ralph Nader",195,0.5
"AR","Grant",2004,"REP","George Bush",4205,62.3
"AR","Grant",2004,"DEM","John Kerry",2524,37.4
"AR","Grant",2004,"GRN","Ralph Nader",25,0.4
"AR","Greene",2004,"REP","George Bush",7232,52.1
"AR","Greene",2004,"DEM","John Kerry",6561,47.3
"AR","Greene",2004,"GRN","Ralph Nader",88,0.6
"AR","Hempstead",2004,"DEM","John Kerry",3817,51.4
"AR","Hempstead",2004,"REP","George Bush",3580,48.2
"AR","Hempstead",2004,"GRN","Ralph Nader",28,0.4
"AR","Hot Spring",2004,"REP","George Bush",5960,49.7
"AR","Hot Spring",2004,"DEM","John Kerry",5901,49.2
"AR","Hot Spring",2004,"GRN","Ralph Nader",136,1.1
"AR","Howard",2004,"REP","George Bush",2728,55.5
"AR","Howard",2004,"DEM","John Kerry",2163,44
"AR","Howard",2004,"GRN","Ralph Nader",22,0.4
"AR","Independence",2004,"REP","George Bush",7408,57.4
"AR","Independence",2004,"DEM","John Kerry",5428,42.1
"AR","Independence",2004,"GRN","Ralph Nader",72,0.6
"AR","Izard",2004,"REP","George Bush",2833,51.9
