state,county,year,party,candidate,votes,pct
ak,Alaska,2004,REP,George Bush,"151,876",62.8%
ak,Alaska,2004,DEM,John Kerry,"86,064",35.6%
al,Autauga,2004,REP,George Bush,"15,212",75.8%
al,Autauga,2004,DEM,John Kerry,"4,774",23.8%
al,Autauga,2004,GRE,Ralph Nader,74,0.4%
al,Baldwin,2004,REP,George Bush,"52,910",76.8%
al,Baldwin,2004,DEM,John Kerry,"15,579",22.6%
al,Baldwin,2004,GRE,Ralph Nader,371,0.5%
al,Barbour,2004,REP,George Bush,"5,893",54.8%
al,Barbour,2004,DEM,John Kerry,"4,826",44.9%
al,Barbour,2004,GRE,Ralph Nader,26,0.2%
al,Bibb,2004,REP,George Bush,"5,471",72.3%
al,Bibb,2004,DEM,John Kerry,"2,089",27.6%
al,Bibb,2004,GRE,Ralph Nader,12,0.2%
al,Blount,2004,REP,George Bush,"17,364",81.2%
al,Blount,2004,DEM,John Kerry,"3,932",18.4%
al,Blount,2004,GRE,Ralph Nader,92,0.4%
al,Bullock,2004,DEM,John Kerry,"3,210",68.2%
al,Bullock,2004,REP,George Bush,"1,494",31.7%
al,Bullock,2004,GRE,Ralph Nader,3,0.1%
al,Butler,2004,REP,George Bush,"4,978",59.3%
al,Butler,2004,DEM,John Kerry,"3,409",40.6%
al,Butler,2004,GRE,Ralph Nader,13,0.2%
al,Calhoun,2004,REP,George Bush,"29,806",66.1%
al,Calhoun,2004,DEM,John Kerry,"15,076",33.5%
al,Calhoun,2004,GRE,Ralph Nader,182,0.4%
al,Chambers,2004,REP,George Bush,"7,618",58.6%
al,Chambers,2004,DEM,John Kerry,"5,346",41.1%
al,Chambers,2004,GRE,Ralph Nader,42,0.3%
al,Cherokee,2004,REP,George Bush,"5,919",65.8%
al,Cherokee,2004,DEM,John Kerry,"3,036",33.7%
al,Cherokee,2004,GRE,Ralph Nader,43,0.5%
al,Chilton,2004,REP,George Bush,"12,824",77.1%
al,Chilton,2004,DEM,John Kerry,"3,773",22.7%
al,Chilton,2004,GRE,Ralph Nader,46,0.3%
al,Choctaw,2004,REP,George Bush,"3,889",54.1%
al,Choctaw,2004,DEM,John Kerry,"3,289",45.7%
al,Choctaw,2004,GRE,Ralph Nader,15,0.2%
al,Clarke,2004,REP,George Bush,"6,729",59.2%
al,Clarke,2004,DEM,John Kerry,"4,627",40.7%
al,Clarke,2004,GRE,Ralph Nader,19,0.2%
al,Clay,2004,REP,George Bush,"4,622",70.5%
al,Clay,2004,DEM,John Kerry,"1,893",28.9%
al,Clay,2004,GRE,Ralph Nader,38,0.6%
al,Cleburne,2004,REP,George Bush,"4,362",75.6%
al,Cleburne,2004,DEM,John Kerry,"1,387",24.0%
al,Cleburne,2004,GRE,Ralph Nader,24,0.4%
al,Coffee,2004,REP,George Bush,"13,010",74.1%
al,Coffee,2004,DEM,John Kerry,"4,477",25.5%
al,Coffee,2004,GRE,Ralph Nader,73,0.4%
al,Colbert,2004,REP,George Bush,"13,179",55.3%
al,Colbert,2004,DEM,John Kerry,"10,586",44.4%
al,Colbert,2004,GRE,Ralph Nader,88,0.4%
al,Conecuh,2004,REP,George Bush,"3,266",54.5%
al,Conecuh,2004,DEM,John Kerry,"2,715",45.3%
al,Conecuh,2004,GRE,Ralph Nader,17,0.3%
al,Coosa,2004,REP,George Bush,"2,902",58.4%
al,Coosa,2004,DEM,John Kerry,"2,055",41.4%
al,Coosa,2004,GRE,Ralph Nader,8,0.2%
al,Covington,2004,REP,George Bush,"11,108",76.3%
al,Covington,2004,DEM,John Kerry,"3,422",23.5%
al,Covington,2004,GRE,Ralph Nader,37,0.3%
al,Crenshaw,2004,REP,George Bush,"3,774",68.8%
al,Crenshaw,2004,DEM,John Kerry,"1,698",30.9%
al,Crenshaw,2004,GRE,Ralph Nader,17,0.3%
al,Cullman,2004,REP,George Bush,"26,783",76.6%
al,Cullman,2004,DEM,John Kerry,"8,022",22.9%
al,Cullman,2004,GRE,Ralph Nader,155,0.4%
al,Dale,2004,REP,George Bush,"13,614",74.9%
al,Dale,2004,DEM,John Kerry,"4,479",24.7%
al,Dale,2004,GRE,Ralph Nader,75,0.4%
al,Dallas,2004,DEM,John Kerry,"11,145",60.3%
al,Dallas,2004,REP,George Bush,"7,318",39.6%
al,Dallas,2004,GRE,Ralph Nader,28,0.2%
al,DeKalb,2004,REP,George Bush,"16,901",70.2%
al,DeKalb,2004,DEM,John Kerry,"7,092",29.4%
al,DeKalb,2004,GRE,Ralph Nader,99,0.4%
al,Elmore,2004,REP,George Bush,"22,024",77.1%
al,Elmore,2004,DEM,John Kerry,"6,455",22.6%
al,Elmore,2004,GRE,Ralph Nader,68,0.2%
al,Escambia,2004,REP,George Bush,"8,501",68.9%
al,Escambia,2004,DEM,John Kerry,"3,812",30.9%
al,Escambia,2004,GRE,Ralph Nader,28,0.2%
al,Etowah,2004,REP,George Bush,"26,972",63.5%
al,Etowah,2004,DEM,John Kerry,"15,311",36.0%
al,Etowah,2004,GRE,Ralph Nader,195,0.5%
al,Fayette,2004,REP,George Bush,"5,532",69.4%
al,Fayette,2004,DEM,John Kerry,"2,408",30.2%
al,Fayette,2004,GRE,Ralph Nader,29,0.4%
al,Franklin,2004,REP,George Bush,"7,688",62.8%
al,Franklin,2004,DEM,John Kerry,"4,513",36.8%
al,Franklin,2004,GRE,Ralph Nader,48,0.4%
al,Geneva,2004,REP,George Bush,"8,324",79.6%
al,Geneva,2004,DEM,John Kerry,"2,105",20.1%
al,Geneva,2004,GRE,Ralph Nader,27,0.3%
al,Greene,2004,DEM,John Kerry,"3,763",79.5%
al,Greene,2004,REP,George Bush,958,20.2%
al,Greene,2004,GRE,Ralph Nader,12,0.3%
al,Hale,2004,DEM,John Kerry,"4,622",58.4%
al,Hale,2004,REP,George Bush,"3,278",41.4%
al,Hale,2004,GRE,Ralph Nader,15,0.2%
al,Henry,2004,REP,George Bush,"4,859",66.5%
al,Henry,2004,DEM,John Kerry,"2,432",33.3%
al,Henry,2004,GRE,Ralph Nader,15,0.2%
al,Houston,2004,REP,George Bush,"26,868",74.4%
al,Houston,2004,DEM,John Kerry,"9,141",25.3%
al,Houston,2004,GRE,Ralph Nader,91,0.3%
al,Jackson,2004,REP,George Bush,"11,507",56.9%
al,Jackson,2004,DEM,John Kerry,"8,618",42.6%
al,Jackson,2004,GRE,Ralph Nader,92,0.5%
al,Jefferson,2004,REP,George Bush,"158,504",54.3%
al,Jefferson,2004,DEM,John Kerry,"132,145",45.3%
al,Jefferson,2004,GRE,Ralph Nader,999,0.3%
al,Lamar,2004,REP,George Bush,"4,894",71.4%
al,Lamar,2004,DEM,John Kerry,"1,956",28.5%
al,Lamar,2004,GRE,Ralph Nader,5,0.1%
al,Lauderdale,2004,REP,George Bush,"22,123",60.0%
al,Lauderdale,2004,DEM,John Kerry,"14,615",39.6%
al,Lauderdale,2004,GRE,Ralph Nader,155,0.4%
al,Lawrence,2004,REP,George Bush,"7,728",55.5%
al,Lawrence,2004,DEM,John Kerry,"6,153",44.2%
al,Lawrence,2004,GRE,Ralph Nader,44,0.3%
al,Lee,2004,REP,George Bush,"27,911",63.0%
al,Lee,2004,DEM,John Kerry,"16,177",36.5%
al,Lee,2004,GRE,Ralph Nader,203,0.5%
al,Limestone,2004,REP,George Bush,"18,994",67.9%
al,Limestone,2004,DEM,John Kerry,"8,859",31.7%
al,Limestone,2004,GRE,Ralph Nader,117,0.4%
al,Lowndes,2004,DEM,John Kerry,"4,233",70.3%
al,Lowndes,2004,REP,George Bush,"1,786",29.7%
al,Lowndes,2004,GRE,Ralph Nader,-,-
al,Macon,2004,DEM,John Kerry,"7,495",82.8%
al,Macon,2004,REP,George Bush,"1,540",17.0%
al,Macon,2004,GRE,Ralph Nader,16,0.2%
al,Madison,2004,REP,George Bush,"77,150",59.2%
al,Madison,2004,DEM,John Kerry,"52,614",40.4%
al,Madison,2004,GRE,Ralph Nader,548,0.4%
al,Marengo,2004,REP,George Bush,"5,242",51.0%
al,Marengo,2004,DEM,John Kerry,"5,026",48.9%
al,Marengo,2004,GRE,Ralph Nader,16,0.2%
al,Marion,2004,REP,George Bush,"8,983",69.9%
al,Marion,2004,DEM,John Kerry,"3,806",29.6%
al,Marion,2004,GRE,Ralph Nader,61,0.5%
al,Marshall,2004,REP,George Bush,"22,745",72.6%
al,Marshall,2004,DEM,John Kerry,"8,441",26.9%
al,Marshall,2004,GRE,Ralph Nader,154,0.5%
al,Mobile,2004,REP,George Bush,"91,877",58.8%
al,Mobile,2004,DEM,John Kerry,"63,614",40.7%
al,Mobile,2004,GRE,Ralph Nader,697,0.4%
al,Monroe,2004,REP,George Bush,"5,831",61.3%
al,Monroe,2004,DEM,John Kerry,"3,666",38.5%
al,Monroe,2004,GRE,Ralph Nader,23,0.2%
al,Montgomery,2004,DEM,John Kerry,"45,127",50.5%
al,Montgomery,2004,REP,George Bush,"44,074",49.3%
al,Montgomery,2004,GRE,Ralph Nader,198,0.2%
al,Morgan,2004,REP,George Bush,"32,435",69.4%
al,Morgan,2004,DEM,John Kerry,"14,113",30.2%
al,Morgan,2004,GRE,Ralph Nader,187,0.4%
al,Perry,2004,DEM,John Kerry,"3,754",68.3%
al,Perry,2004,REP,George Bush,"1,733",31.5%
al,Perry,2004,GRE,Ralph Nader,7,0.1%
al,Pickens,2004,REP,George Bush,"5,170",56.8%
al,Pickens,2004,DEM,John Kerry,"3,915",43.0%
al,Pickens,2004,GRE,Ralph Nader,24,0.3%
al,Pike,2004,REP,George Bush,"7,473",63.1%
al,Pike,2004,DEM,John Kerry,"4,323",36.5%
al,Pike,2004,GRE,Ralph Nader,44,0.4%
al,Randolph,2004,REP,George Bush,"6,127",68.2%
al,Randolph,2004,DEM,John Kerry,"2,817",31.4%
al,Randolph,2004,GRE,Ralph Nader,35,0.4%
al,Russell,2004,DEM,John Kerry,"8,372",50.0%
al,Russell,2004,REP,George Bush,"8,332",49.7%
al,Russell,2004,GRE,Ralph Nader,51,0.3%
al,Shelby,2004,REP,George Bush,"63,326",80.7%
al,Shelby,2004,DEM,John Kerry,"14,826",18.9%
al,Shelby,2004,GRE,Ralph Nader,283,0.4%
al,St. Clair,2004,REP,George Bush,"23,468",80.9%
al,St. Clair,2004,DEM,John Kerry,"5,449",18.8%
al,St. Clair,2004,GRE,Ralph Nader,95,0.3%
al,Sumter,2004,DEM,John Kerry,"4,527",70.5%
al,Sumter,2004,REP,George Bush,"1,880",29.3%
al,Sumter,2004,GRE,Ralph Nader,10,0.2%
al,Talladega,2004,REP,George Bush,"18,326",61.5%
al,Talladega,2004,DEM,John Kerry,"11,373",38.2%
al,Talladega,2004,GRE,Ralph Nader,89,0.3%
al,Tallapoosa,2004,REP,George Bush,"12,378",69.2%
al,Tallapoosa,2004,DEM,John Kerry,"5,449",30.5%
al,Tallapoosa,2004,GRE,Ralph Nader,53,0.3%
al,Tuscaloosa,2004,REP,George Bush,"42,827",61.6%
al,Tuscaloosa,2004,DEM,John Kerry,"26,420",38.0%
al,Tuscaloosa,2004,GRE,Ralph Nader,263,0.4%
al,Walker,2004,REP,George Bush,"19,162",67.8%
al,Walker,2004,DEM,John Kerry,"9,012",31.9%
al,Walker,2004,GRE,Ralph Nader,108,0.4%
al,Washington,2004,REP,George Bush,"5,042",61.5%
al,Washington,2004,DEM,John Kerry,"3,127",38.1%
al,Washington,2004,GRE,Ralph Nader,28,0.3%
al,Wilcox,2004,DEM,John Kerry,"3,238",64.3%
al,Wilcox,2004,REP,George Bush,"1,778",35.3%
al,Wilcox,2004,GRE,Ralph Nader,19,0.4%
al,Winston,2004,REP,George Bush,"8,052",78.1%
al,Winston,2004,DEM,John Kerry,"2,234",21.7%
ar,Arkansas,2004,REP,George Bush,"3,783",54.7%
ar,Arkansas,2004,DEM,John Kerry,"3,105",44.9%
ar,Arkansas,2004,GRE,Ralph Nader,31,0.4%
ar,Ashley,2004,REP,George Bush,"4,566",53.8%
ar,Ashley,2004,DEM,John Kerry,"3,879",45.7%
ar,Ashley,2004,GRE,Ralph Nader,38,0.4%
ar,Baxter,2004,REP,George Bush,"11,117",60.4%
ar,Baxter,2004,DEM,John Kerry,"7,120",38.7%
ar,Baxter,2004,GRE,Ralph Nader,154,0.8%
ar,Benton,2004,REP,George Bush,"46,173",68.7%
ar,Benton,2004,DEM,John Kerry,"20,594",30.7%
ar,Benton,2004,GRE,Ralph Nader,394,0.6%
ar,Boone,2004,REP,George Bush,"9,742",67.3%
ar,Boone,2004,DEM,John Kerry,"4,617",31.9%
ar,Boone,2004,GRE,Ralph Nader,117,0.8%
ar,Bradley,2004,REP,George Bush,"2,190",51.9%
ar,Bradley,2004,DEM,John Kerry,"2,005",47.6%
ar,Bradley,2004,GRE,Ralph Nader,21,0.5%
ar,Calhoun,2004,REP,George Bush,"1,334",58.6%
ar,Calhoun,2004,DEM,John Kerry,934,41.0%
ar,Calhoun,2004,GRE,Ralph Nader,10,0.4%
ar,Carroll,2004,REP,George Bush,"6,184",59.3%
ar,Carroll,2004,DEM,John Kerry,"4,161",39.9%
ar,Carroll,2004,GRE,Ralph Nader,76,0.7%
ar,Chicot,2004,DEM,John Kerry,"2,815",61.7%
ar,Chicot,2004,REP,George Bush,"1,723",37.8%
ar,Chicot,2004,GRE,Ralph Nader,23,0.5%
ar,Clark,2004,DEM,John Kerry,"4,981",54.5%
ar,Clark,2004,REP,George Bush,"4,118",45.0%
ar,Clark,2004,GRE,Ralph Nader,46,0.5%
ar,Clay,2004,DEM,John Kerry,"3,258",54.0%
ar,Clay,2004,REP,George Bush,"2,735",45.3%
ar,Clay,2004,GRE,Ralph Nader,45,0.7%
ar,Cleburne,2004,REP,George Bush,"6,938",60.7%
ar,Cleburne,2004,DEM,John Kerry,"4,419",38.6%
ar,Cleburne,2004,GRE,Ralph Nader,78,0.7%
ar,Cleveland,2004,REP,George Bush,"2,008",57.7%
ar,Cleveland,2004,DEM,John Kerry,"1,450",41.7%
ar,Cleveland,2004,GRE,Ralph Nader,22,0.6%
ar,Columbia,2004,REP,George Bush,"5,706",57.9%
ar,Columbia,2004,DEM,John Kerry,"4,102",41.7%
ar,Columbia,2004,GRE,Ralph Nader,39,0.4%
ar,Conway,2004,REP,George Bush,"3,998",49.8%
ar,Conway,2004,DEM,John Kerry,"3,972",49.5%
ar,Conway,2004,GRE,Ralph Nader,56,0.7%
ar,Craighead,2004,REP,George Bush,"15,810",53.3%
ar,Craighead,2004,DEM,John Kerry,"13,647",46.0%
ar,Craighead,2004,GRE,Ralph Nader,179,0.6%
ar,Crawford,2004,REP,George Bush,"13,353",66.0%
ar,Crawford,2004,DEM,John Kerry,"6,747",33.3%
ar,Crawford,2004,GRE,Ralph Nader,143,0.7%
ar,Crittenden,2004,DEM,John Kerry,"8,278",54.2%
ar,Crittenden,2004,REP,George Bush,"6,930",45.4%
ar,Crittenden,2004,GRE,Ralph Nader,53,0.3%
ar,Cross,2004,REP,George Bush,"3,864",55.0%
ar,Cross,2004,DEM,John Kerry,"3,135",44.6%
ar,Cross,2004,GRE,Ralph Nader,31,0.4%
ar,Dallas,2004,REP,George Bush,"1,699",50.4%
ar,Dallas,2004,DEM,John Kerry,"1,670",49.6%
ar,Dallas,2004,GRE,Ralph Nader,1,-
ar,Desha,2004,DEM,John Kerry,"2,818",60.9%
ar,Desha,2004,REP,George Bush,"1,783",38.5%
ar,Desha,2004,GRE,Ralph Nader,28,0.6%
ar,Drew,2004,REP,George Bush,"3,279",52.3%
ar,Drew,2004,DEM,John Kerry,"2,965",47.3%
ar,Drew,2004,GRE,Ralph Nader,23,0.4%
ar,Faulkner,2004,REP,George Bush,"21,514",59.3%
ar,Faulkner,2004,DEM,John Kerry,"14,538",40.1%
ar,Faulkner,2004,GRE,Ralph Nader,231,0.6%
ar,Franklin,2004,REP,George Bush,"4,179",57.7%
ar,Franklin,2004,DEM,John Kerry,"3,005",41.5%
ar,Franklin,2004,GRE,Ralph Nader,62,0.9%
ar,Fulton,2004,REP,George Bush,"2,187",50.8%
ar,Fulton,2004,DEM,John Kerry,"2,083",48.4%
ar,Fulton,2004,GRE,Ralph Nader,37,0.9%
ar,Garland,2004,REP,George Bush,"21,699",54.4%
ar,Garland,2004,DEM,John Kerry,"18,014",45.1%
ar,Garland,2004,GRE,Ralph Nader,195,0.5%
ar,Grant,2004,REP,George Bush,"4,205",62.3%
ar,Grant,2004,DEM,John Kerry,"2,524",37.4%
ar,Grant,2004,GRE,Ralph Nader,25,0.4%
ar,Greene,2004,REP,George Bush,"7,232",52.1%
ar,Greene,2004,DEM,John Kerry,"6,561",47.3%
ar,Greene,2004,GRE,Ralph Nader,88,0.6%
ar,Hempstead,2004,DEM,John Kerry,"3,817",51.4%
ar,Hempstead,2004,REP,George Bush,"3,580",48.2%
ar,Hempstead,2004,GRE,Ralph Nader,28,0.4%
ar,Hot Spring,2004,REP,George Bush,"5,960",49.7%
ar,Hot Spring,2004,DEM,John Kerry,"5,901",49.2%
ar,Hot Spring,2004,GRE,Ralph Nader,136,1.1%
ar,Howard,2004,REP,George Bush,"2,728",55.5%
ar,Howard,2004,DEM,John Kerry,"2,163",44.0%
ar,Howard,2004,GRE,Ralph Nader,22,0.4%
ar,Independence,2004,REP,George Bush,"7,408",57.4%
ar,Independence,2004,DEM,John Kerry,"5,428",42.1%
ar,Independence,2004,GRE,Ralph Nader,72,0.6%
ar,Izard,2004,REP,George Bush,"2,833",51.9%
ar,Izard,2004,DEM,John Kerry,"2,586",47.4%
ar,Izard,2004,GRE,Ralph Nader,35,0.6%
ar,Jackson,2004,DEM,John Kerry,"3,513",56.9%
