"name","state","party","period","year"
"Abdnor, Ellis James","SD","R",1981.1,1981
"Abdnor, Ellis James","SD","R",1981.2,1981
"Abdnor, Ellis James","SD","R",1981.3,1981
"Abdnor, Ellis James","SD","R",1981.4,1981
"Abdnor, Ellis James","SD","R",1982.1,1982
"Abdnor, Ellis James","SD","R",1982.2,1982
"Abdnor, Ellis James","SD","R",1982.3,1982
"Abdnor, Ellis James","SD","R",1982.4,1982
"Abdnor, Ellis James","SD","R",1983.1,1983
"Abdnor, Ellis James","SD","R",1983.2,1983
"Abdnor, Ellis James","SD","R",1983.3,1983
"Abdnor, Ellis James","SD","R",1983.4,1983
"Abdnor, Ellis James","SD","R",1984.1,1984
"Abdnor, Ellis James","SD","R",1984.2,1984
"Abdnor, Ellis James","SD","R",1984.3,1984
"Abdnor, Ellis James","SD","R",1984.4,1984
"Abdnor, Ellis James","SD","R",1985.1,1985
"Abdnor, Ellis James","SD","R",1985.2,1985
"Abdnor, Ellis James","SD","R",1985.3,1985
"Abdnor, Ellis James","SD","R",1985.4,1985
"Abdnor, Ellis James","SD","R",1986.1,1986
"Abdnor, Ellis James","SD","R",1986.2,1986
"Abdnor, Ellis James","SD","R",1986.3,1986
"Abdnor, Ellis James","SD","R",1986.4,1986
"Abourezk, James George","SD","D",1973.1,1973
"Abourezk, James George","SD","D",1973.2,1973
"Abourezk, James George","SD","D",1973.3,1973
"Abourezk, James George","SD","D",1973.4,1973
"Abourezk, James George","SD","D",1974.1,1974
"Abourezk, James George","SD","D",1974.2,1974
"Abourezk, James George","SD","D",1974.3,1974
"Abourezk, James George","SD","D",1974.4,1974
"Abourezk, James George","SD","D",1975.1,1975
"Abourezk, James George","SD","D",1975.2,1975
"Abourezk, James George","SD","D",1975.3,1975
"Abourezk, James George","SD","D",1975.4,1975
"Abourezk, James George","SD","D",1976.1,1976
"Abourezk, James George","SD","D",1976.2,1976
"Abourezk, James George","SD","D",1976.3,1976
"Abourezk, James George","SD","D",1976.4,1976
"Abourezk, James George","SD","D",1977.1,1977
"Abourezk, James George","SD","D",1977.2,1977
"Abourezk, James George","SD","D",1977.3,1977
"Abourezk, James George","SD","D",1977.4,1977
"Abourezk, James George","SD","D",1978.1,1978
"Abourezk, James George","SD","D",1978.2,1978
"Abourezk, James George","SD","D",1978.3,1978
"Abourezk, James George","SD","D",1978.4,1978
"Abraham, Edmund Spencer","MI","R",1995.1,1995
"Abraham, Edmund Spencer","MI","R",1995.2,1995
"Abraham, Edmund Spencer","MI","R",1995.3,1995
"Abraham, Edmund Spencer","MI","R",1995.4,1995
"Abraham, Edmund Spencer","MI","R",1996.1,1996
"Abraham, Edmund Spencer","MI","R",1996.2,1996
"Abraham, Edmund Spencer","MI","R",1996.3,1996
"Abraham, Edmund Spencer","MI","R",1996.4,1996
"Abraham, Edmund Spencer","MI","R",1997.1,1997
"Abraham, Edmund Spencer","MI","R",1997.2,1997
"Abraham, Edmund Spencer","MI","R",1997.3,1997
"Abraham, Edmund Spencer","MI","R",1997.4,1997
"Abraham, Edmund Spencer","MI","R",1998.1,1998
"Abraham, Edmund Spencer","MI","R",1998.2,1998
"Abraham, Edmund Spencer","MI","R",1998.3,1998
"Abraham, Edmund Spencer","MI","R",1998.4,1998
"Abraham, Edmund Spencer","MI","R",1999.1,1999
"Abraham, Edmund Spencer","MI","R",1999.2,1999
"Abraham, Edmund Spencer","MI","R",1999.3,1999
"Abraham, Edmund Spencer","MI","R",1999.4,1999
